"API","API10","oper_alias","form_avg","Status","PerfLL","FirstProd","Oil_PkNorm_Perk_6mo"
"42461393420000","4246139342","PIONEER","WFMP_B","PRODUCING",6602,8/1/2014,12715
"42461393600000","4246139360","PIONEER","WFMP_B","PRODUCING",8162,11/1/2014,6287
"42461393610000","4246139361","PIONEER","WFMP_A","PRODUCING",7767,11/1/2014,6736
"42461393620000","4246139362","PIONEER","WFMP_B_LOWER","PRODUCING",8067,11/1/2014,6651
"42461393630000","4246139363","PIONEER","WFMP_B","PRODUCING",5967,11/1/2014,6086
"42461393640000","4246139364","PIONEER","WFMP_A","PRODUCING",7167,11/1/2014,6029
"42461393650000","4246139365","PIONEER","WFMP_B_LOWER","PRODUCING",7167,10/1/2014,8221
"42461393660000","4246139366","SM","WFMP_B_LOWER","PRODUCING",7689,2/1/2016,12333
"42461393690000","4246139369","DIAMONDBACK","WFMP_B","PRODUCING",10081,1/1/2015,7168
"42461393720000","4246139372","SUMMIT","WFMP_A","PRODUCING",4960,1/1/2015,11025
"42461393760000","4246139376","PIONEER","WFMP_B","PRODUCING",6842,12/1/2014,12827
"42461393800000","4246139380","PIONEER","WFMP_B_LOWER","PRODUCING",6962,12/1/2014,7441
"42461393870000","4246139387","DIAMONDBACK","WFMP_B","PRODUCING",4982,8/1/2014,8434
"42461393880000","4246139388","COG","WFMP_B","PRODUCING",5007,9/1/2014,11056
"42461393890000","4246139389","SM","UNKNOWN","PRODUCING",7300,2/1/2015,15104
"42461394010000","4246139401","SM","WFMP_B","PRODUCING",4964,9/1/2014,12271
"42461394030000","4246139403","PIONEER","WFMP_B","PRODUCING",6507,11/1/2014,6104
"42461394040000","4246139404","PIONEER","WFMP_B","PRODUCING",6567,12/1/2014,5995
"42461394050000","4246139405","PIONEER","WFMP_B_LOWER","PRODUCING",6747,12/1/2014,4766
"42461394060000","4246139406","COG","WFMP_B","PRODUCING",4930,1/1/2015,19646
"42461394070000","4246139407","ENCANA","WFMP_B_LOWER","PRODUCING",7282,1/1/2015,17987
"42461394080000","4246139408","PIONEER","WFMP_B","PRODUCING",6182,12/1/2014,6131
"42461394100000","4246139410","PIONEER","WFMP_B_LOWER","PRODUCING",5702,1/1/2015,4053
"42461394240000","4246139424","DIAMONDBACK","WFMP_B","PRODUCING",4879,2/1/2015,8059
"42461394280000","4246139428","COG","WFMP_B_LOWER","PRODUCING",5058,11/1/2014,11250
"42461394340000","4246139434","COG","WFMP_B","PRODUCING",8284,2/1/2015,9531
"42461394410000","4246139441","PIONEER","WFMP_B","PRODUCING",4742,10/1/2014,3760
"42461394440000","4246139444","PIONEER","WFMP_B","PRODUCING",9884,2/1/2015,8793
"42461394450200","4246139445","PIONEER","WFMP_A","PRODUCING",9484,3/1/2015,7772
"42461394460000","4246139446","PIONEER","WFMP_B_LOWER","PRODUCING",9886,3/1/2015,4768
"42461394470000","4246139447","DIAMONDBACK","WFMP_B","PRODUCING",10253,7/1/2016,5876
"42461394510000","4246139451","PIONEER","WFMP_B","PRODUCING",10031,3/1/2015,7623
"42461394520000","4246139452","PIONEER","WFMP_A","PRODUCING",9635,3/1/2015,8339
"42461394530000","4246139453","DIAMONDBACK","UNKNOWN","STALE-PERMIT",0,null,null
"42461394540000","4246139454","PIONEER","WFMP_B_LOWER","PRODUCING",9164,3/1/2015,4399
"42461394570000","4246139457","DIAMONDBACK","WFMP_B","PRODUCING",10081,1/1/2017,5224
